location,latitude,longitude,place
Big Ben,51.500783,-0.124615,London
Hyde Park,51.507535, -0.164791,London
Westminster,51.497595, -0.135685,London
London Eye,51.503344,-0.119532,London
Warner Bros. Studio Tour,51.690440,-0.417591,London
Buckingham Palace,51.501384,-0.141869,London
Churchill War Rooms,51.502199,-0.129346,London
Tower of London,51.508152,-0.075960,London
Kensington Palace,51.505877,-0.187713,London
Madame Tussauds,51.523072,-0.154324,London
Tower Bridge Offices,51.504255,-0.076213,London
St. Paul's Churchyard,51.513338,-0.098698,London
